number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,mean_test_score,rank_test_score
285,0.808281942946742,2025-03-11 13:36:59.173481,2025-03-11 13:37:16.631270,0 days 00:00:17.457789,0.8349344350697158,0.0104778317976869,11,5,1952,0.01864357364806018,3.312341631931125,0.8400074111228584,COMPLETE,0.808281942946742,1
878,0.8081453476626063,2025-03-11 16:25:39.867563,2025-03-11 16:25:55.130149,0 days 00:00:15.262586,0.7754192849513343,0.010797690189952162,12,7,1605,0.10060046710793724,4.175873759409668,0.8247053285640403,COMPLETE,0.8081453476626063,2
986,0.8080043752254585,2025-03-11 16:54:13.110446,2025-03-11 16:54:32.175087,0 days 00:00:19.064641,0.8297141733947918,0.01068642567733169,12,5,1789,0.026636743339897573,2.6669938363948136,0.8338239120961188,COMPLETE,0.8080043752254585,3
394,0.8079817264704233,2025-03-11 14:05:33.726051,2025-03-11 14:05:55.517275,0 days 00:00:21.791224,0.7919946269353586,0.01109216118768188,12,5,2141,0.09149605232820401,3.8481264224395124,0.8386361511123259,COMPLETE,0.8079817264704233,4
498,0.8079486367999462,2025-03-11 14:36:16.084528,2025-03-11 14:36:30.869648,0 days 00:00:14.785120,0.8173168441833194,0.01003896810644902,11,7,1836,0.0650221074907612,5.247624516525187,0.8414796621675669,COMPLETE,0.8079486367999462,5
145,0.8078341682250737,2025-03-11 12:59:54.680672,2025-03-11 13:00:13.729679,0 days 00:00:19.049007,0.7595002334619062,0.010001497158030297,12,6,1925,0.011132515326033477,7.3703351140229545,0.8361318595566704,COMPLETE,0.8078341682250737,6
801,0.8077601782762218,2025-03-11 16:03:19.308585,2025-03-11 16:03:37.143782,0 days 00:00:17.835197,0.8195823196590246,0.010830326336545496,12,7,1954,0.0072781842673731115,4.7143212905827445,0.8826363608565507,COMPLETE,0.8077601782762218,7
906,0.8077541345924757,2025-03-11 16:32:42.697217,2025-03-11 16:32:56.518216,0 days 00:00:13.820999,0.7639068630044951,0.01067717956346647,12,7,1447,0.09909946998244581,5.120486579611245,0.8399422144881756,COMPLETE,0.8077541345924757,8
884,0.8077494763378938,2025-03-11 16:27:19.414656,2025-03-11 16:27:33.808918,0 days 00:00:14.394262,0.7753174559199464,0.011169153971027733,12,7,1507,0.08176515316131144,4.357234685069222,0.7867558240261618,COMPLETE,0.8077494763378938,9
964,0.8077403405368824,2025-03-11 16:47:19.828233,2025-03-11 16:47:38.365096,0 days 00:00:18.536863,0.8137223251105508,0.011209139855931461,12,5,1766,0.032617555891872374,1.7200211765300117,0.863729387558988,COMPLETE,0.8077403405368824,10
450,0.8077217075185554,2025-03-11 14:22:11.991588,2025-03-11 14:22:29.140111,0 days 00:00:17.148523,0.792454009173399,0.012894768903924617,11,5,1882,0.7251017622216696,6.8171645416738755,0.9116635240215555,COMPLETE,0.8077217075185554,11
871,0.8077140575401259,2025-03-11 16:23:54.933502,2025-03-11 16:24:10.966371,0 days 00:00:16.032869,0.79601798240456,0.010018104717481501,12,7,1662,0.08211055831553764,4.013371062682745,0.8337298748952481,COMPLETE,0.8077140575401259,12
305,0.8077050221325321,2025-03-11 13:43:00.219444,2025-03-11 13:43:16.611966,0 days 00:00:16.392522,0.841958581420069,0.0117354410290711,12,7,1718,0.008354862192936257,7.934316828134535,0.8763489901291094,COMPLETE,0.8077050221325321,13
